"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Relative Humidity"
"1/1/1979","-118.125","33.8768005371094","8","15.435","6.82100000000003","0.247226210597743",
"1/2/1979","-118.125","33.8768005371094","8","16.091","5.96300000000002","0.19606766035219",
"1/3/1979","-118.125","33.8768005371094","8","19.326","8.30099999999999","0.270252898000318",
"1/4/1979","-118.125","33.8768005371094","8","19.932","9.60399999999999","0.34969923757267",
"1/5/1979","-118.125","33.8768005371094","8","13.129","10.102","0.828411082613868",
"1/6/1979","-118.125","33.8768005371094","8","12.635","10.619","0.843026305220379",
"1/7/1979","-118.125","33.8768005371094","8","15.172","8.95999999999998","0.787149055248722",
"1/8/1979","-118.125","33.8768005371094","8","16.939","8.947","0.760156349069349",
"1/9/1979","-118.125","33.8768005371094","8","16.381","9.43299999999999","0.753264536399612",
"1/10/1979","-118.125","33.8768005371094","8","18.142","8.44200000000001","0.625224265801606",
"1/11/1979","-118.125","33.8768005371094","8","16.712","7.75","0.757701834533335",
"1/12/1979","-118.125","33.8768005371094","8","18.3","8.67099999999999","0.705249575155833",
"1/13/1979","-118.125","33.8768005371094","8","19.358","7.935","0.427625043886751",
"1/14/1979","-118.125","33.8768005371094","8","16.125","9.27699999999999","0.569379793237568",
"1/15/1979","-118.125","33.8768005371094","8","12.284","10.795","0.928510209715117",
"1/16/1979","-118.125","33.8768005371094","8","14.611","10.17","0.891654373283219",
"1/17/1979","-118.125","33.8768005371094","8","14.261","7.13200000000001","0.840469242754572",
"1/18/1979","-118.125","33.8768005371094","8","12.563","4.52499999999998","0.830775168557149",
"1/19/1979","-118.125","33.8768005371094","8","14.783","4.40300000000002","0.658339193960381",
"1/20/1979","-118.125","33.8768005371094","8","17.771","7.21199999999999","0.505461082391885",
"1/21/1979","-118.125","33.8768005371094","8","17.778","8.52699999999999","0.545727588150938",
"1/22/1979","-118.125","33.8768005371094","8","15.146","5.53500000000003","0.806490971726697",
"1/23/1979","-118.125","33.8768005371094","8","17.572","6.05700000000002","0.632500159657249",
"1/24/1979","-118.125","33.8768005371094","8","16.225","8.22300000000001","0.535489271478637",
"1/25/1979","-118.125","33.8768005371094","8","12.725","5.06700000000001","0.614388907259393",
"1/26/1979","-118.125","33.8768005371094","8","13.252","2.358","0.48757880349079",
"1/27/1979","-118.125","33.8768005371094","8","13.209","3.584","0.523221985928425",
"1/28/1979","-118.125","33.8768005371094","8","10.74","3.077","0.650600971915489",
"1/29/1979","-118.125","33.8768005371094","8","9.73899999999998","0.579000000000008","0.619242601898939",
"1/30/1979","-118.125","33.8768005371094","8","9.56700000000001","3.67599999999999","0.79084198277578",
"1/31/1979","-118.125","33.8768005371094","8","9.85399999999999","6.48000000000002","0.933662625186887",
"2/1/1979","-118.125","33.8768005371094","8","10.572","2.93099999999998","0.917349873380687",
"2/2/1979","-118.125","33.8768005371094","8","8.76400000000001","2.81599999999997","0.934049205034173",
"2/3/1979","-118.125","33.8768005371094","8","9.83699999999999","1.851","0.806569563926909",
"2/4/1979","-118.125","33.8768005371094","8","11.55","0.658999999999992","0.761931216474389",
"2/5/1979","-118.125","33.8768005371094","8","13.756","4.03699999999998","0.709450805022041",
"2/6/1979","-118.125","33.8768005371094","8","17.659","5.29899999999998","0.664546305078208",
"2/7/1979","-118.125","33.8768005371094","8","19.71","7.71600000000001","0.546083734347029",
"2/8/1979","-118.125","33.8768005371094","8","22.101","8.93299999999999","0.535187712021402",
"2/9/1979","-118.125","33.8768005371094","8","21.714","9.43700000000001","0.454717902402574",
"2/10/1979","-118.125","33.8768005371094","8","21.975","10.169","0.457791440360177",
"2/11/1979","-118.125","33.8768005371094","8","23.403","10.543","0.464106765946703",
"2/12/1979","-118.125","33.8768005371094","8","21.993","10.658","0.434332243196871",
"2/13/1979","-118.125","33.8768005371094","8","18.019","8.435","0.582978167018123",
"2/14/1979","-118.125","33.8768005371094","8","15.351","7.084","0.788199336630337",
"2/15/1979","-118.125","33.8768005371094","8","15.117","5.82100000000003","0.790341790582797",
"2/16/1979","-118.125","33.8768005371094","8","15.24","4.67599999999999","0.808835350796716",
"2/17/1979","-118.125","33.8768005371094","8","18.568","6.21199999999999","0.570250854405731",
"2/18/1979","-118.125","33.8768005371094","8","19.46","8.28899999999999","0.576188686209645",
"2/19/1979","-118.125","33.8768005371094","8","17.242","7.12799999999999","0.694734438817132",
"2/20/1979","-118.125","33.8768005371094","8","13.584","6.988","0.786592889574808",
"2/21/1979","-118.125","33.8768005371094","8","13.3","7.851","0.831950093427451",
"2/22/1979","-118.125","33.8768005371094","8","14.256","4.649","0.774567285803601",
"2/23/1979","-118.125","33.8768005371094","8","14.703","6.43900000000002","0.78661158950176",
