"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Wind"
"1/1/1979","-123.125","49.1759986877441","3","-3.04899999999998","-8.27600000000001","2.62770127911184",
"1/2/1979","-123.125","49.1759986877441","3","0.711999999999989","-4.90899999999999","2.55517707214653",
"1/3/1979","-123.125","49.1759986877441","3","-0.379000000000019","-3.839","4.35614364663885",
"1/4/1979","-123.125","49.1759986877441","3","-1.54599999999999","-5.02600000000001","4.38789510864198",
"1/5/1979","-123.125","49.1759986877441","3","0.649999999999977","-5.06900000000002","3.14507750700951",
"1/6/1979","-123.125","49.1759986877441","3","0.769999999999982","-3.41000000000003","3.994538737066",
"1/7/1979","-123.125","49.1759986877441","3","1.01799999999997","-4.32400000000001","2.85365619552012",
"1/8/1979","-123.125","49.1759986877441","3","1.959","-2.46800000000002","2.95195819234731",
"1/9/1979","-123.125","49.1759986877441","3","1.62099999999998","0.117000000000019","3.49904288040092",
"1/10/1979","-123.125","49.1759986877441","3","2.44","1.09699999999998","3.56404577382855",
"1/11/1979","-123.125","49.1759986877441","3","3.42899999999997","1.65100000000001","1.92791827286475",
"1/12/1979","-123.125","49.1759986877441","3","3.505","1.81","1.63937125020772",
"1/13/1979","-123.125","49.1759986877441","3","5.048","-0.759999999999991","2.17118111911205",
"1/14/1979","-123.125","49.1759986877441","3","0.302000000000021","-2.17700000000002","3.65996110632416",
"1/15/1979","-123.125","49.1759986877441","3","0.269999999999982","-2.93599999999998","2.53824795073756",
"1/16/1979","-123.125","49.1759986877441","3","1.13999999999999","-1.48899999999998","3.36783968191112",
"1/17/1979","-123.125","49.1759986877441","3","4.495","0.22199999999998","2.60255338231196",
"1/18/1979","-123.125","49.1759986877441","3","2.85599999999999","-0.204000000000008","3.0230220618461",
"1/19/1979","-123.125","49.1759986877441","3","3.54700000000003","2.35000000000002","3.94178402935861",
"1/20/1979","-123.125","49.1759986877441","3","6.91000000000003","2.85700000000003","3.63698209238718",
"1/21/1979","-123.125","49.1759986877441","3","5.14400000000001","0.0620000000000118","2.78414776912886",
"1/22/1979","-123.125","49.1759986877441","3","3.71600000000001","0.77600000000001","2.14965598890414",
"1/23/1979","-123.125","49.1759986877441","3","3.06400000000002","1.04399999999998","3.36156729431789",
"1/24/1979","-123.125","49.1759986877441","3","3.34500000000003","-0.632000000000005","1.92974838139332",
"1/25/1979","-123.125","49.1759986877441","3","3.19200000000001","-1.39499999999998","1.22716155995433",
"1/26/1979","-123.125","49.1759986877441","3","2.654","-1.57999999999998","3.69109971287883",
"1/27/1979","-123.125","49.1759986877441","3","3.70499999999998","-1.327","1.68704914046739",
"1/28/1979","-123.125","49.1759986877441","3","1.58800000000002","-3.274","1.89821384206807",
