"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind"
"1/1/1979","0","51.673900604248","61","-3.80200000000002","-7.70400000000001","0.5596165008","4.19116160664058",
"1/2/1979","0","51.673900604248","61","0.338000000000022","-8.43200000000002","0.4360203288","5.82957157689556",
"1/3/1979","0","51.673900604248","61","0.480999999999995","-10.402","0.0308990664","3.60179020265473",
"1/4/1979","0","51.673900604248","61","-0.812999999999988","-4.35199999999998","0","8.20598991797721",
"1/5/1979","0","51.673900604248","61","-2.53399999999999","-14.537","0","4.85750287629847",
"1/6/1979","0","51.673900604248","61","0.87700000000001","-15.356","0.054931644","3.28987638672259",
"1/7/1979","0","51.673900604248","61","3.572","0.899000000000001","3.824615556","6.19070953354785",
"1/8/1979","0","51.673900604248","61","7.024","2.76400000000001","1.0248183504","3.25150578952396",
"1/9/1979","0","51.673900604248","61","3.89600000000002","0.154999999999973","0.200843532","4.87165543788803",
"1/10/1979","0","51.673900604248","61","4.68099999999998","0.177000000000021","7.2286604424","7.72052174392941",
"1/11/1979","0","51.673900604248","61","3.17700000000002","-1.67000000000002","0.024032592","8.69597739646781",
"1/12/1979","0","51.673900604248","61","3.041","-2.108","0.0343322784","5.01865053934165",
"1/13/1979","0","51.673900604248","61","1.60199999999998","-3.44200000000001","0","2.64706412882709",
"1/14/1979","0","51.673900604248","61","3.49900000000002","-3.28800000000001","1.4402395584","3.63493129342777",
"1/15/1979","0","51.673900604248","61","3.93200000000002","1.13200000000001","0.8497239768","1.3196025009367",
"1/16/1979","0","51.673900604248","61","5.65499999999997","2.00999999999999","0.178527924","2.35361635724561",
"1/17/1979","0","51.673900604248","61","3.464","-0.350999999999999","10.605240396","5.23481652045028",
"1/18/1979","0","51.673900604248","61","0.810999999999979","-2.12400000000002","1.38015756","7.32334301841645",
"1/19/1979","0","51.673900604248","61","1.89100000000002","-3.24700000000001","4.514693076","8.23464345752552",
"1/20/1979","0","51.673900604248","61","4.83300000000003","1.04199999999997","9.9597906","5.22559994001367",
"1/21/1979","0","51.673900604248","61","4.46899999999999","-2.63600000000002","0.1476286632","2.59109807489865",
"1/22/1979","0","51.673900604248","61","1.18599999999998","-1.28500000000003","1.68056496","6.05861671301469",
"1/23/1979","0","51.673900604248","61","0.245999999999981","-1.76799999999997","5.846790024","5.41872275913236",
"1/24/1979","0","51.673900604248","61","1.73000000000002","-4.39400000000001","0.1184465232","5.69776599475951",
"1/25/1979","0","51.673900604248","61","1.48899999999998","-6.04899999999998","6.651881136","5.43288935000315",
"1/26/1979","0","51.673900604248","61","0.577999999999975","-7.096","1.3569834024","3.97624416344642",
"1/27/1979","0","51.673900604248","61","-1.82499999999999","-12.95","0.01373292","1.38476380738405",
